板块代码,板块名称,交易日期,上榜天数,连板高度,连板家数,涨停家数,涨跌幅%,板块热点排名
885517.TI,机器人概念,2026-01-19,2,14天14板,5,23,0.8079,1
881278.TI,电网设备,2026-01-19,2,5天4板,10,22,5.2276,2
885431.TI,新能源汽车,2026-01-19,3,14天14板,4,22,1.1829,3
885311.TI,智能电网,2026-01-19,3,5天4板,9,21,2.934,4
885531.TI,光伏概念,2026-01-19,3,5天4板,4,21,1.8713,5
885641.TI,风电,2026-01-19,1,5天4板,8,18,2.3076,6
885425.TI,特高压,2026-01-19,2,3天2板,6,17,4.2863,7
886086.TI,西部大开发,2026-01-19,1,4天4板,4,17,1.2176,8
885921.TI,储能,2026-01-19,1,5天4板,3,16,1.5782,9
885739.TI,股权转让(并购重组),2026-01-19,1,22天15板,6,16,1.0738,10
885806.TI,华为概念,2026-01-19,16,12天8板,2,16,0.0566,11
885461.TI,充电桩,2026-01-19,1,3天2板,6,15,1.7061,12
885595.TI,央企国企改革,2026-01-19,1,3天2板,3,15,1.5044,13
885699.TI,ST板块,2026-01-19,1,12天8板,3,15,0.2512,14
885936.TI,绿色电力,2026-01-19,1,2天2板,2,14,1.9285,15
885494.TI,一带一路,2026-01-19,3,2天2板,3,14,1.4769,16
885700.TI,军工,2026-01-19,1,12天8板,2,14,1.0701,17
885427.TI,高端装备,2026-01-19,1,2天2板,1,13,1.6136,18
885571.TI,核电,2026-01-19,2,5天4板,6,12,2.0905,19
885887.TI,数据中心,2026-01-19,1,5天4板,3,12,0.7246,20
